# Archivo: distancias.csv
# Matriz simétrica de distancias entre 10 ciudades
# dij = distancia entre ciudad i y ciudad j
0.0,25.3,48.7,32.1,67.9,41.2,55.8,29.4,73.6,38.7
25.3,0.0,31.5,22.8,54.2,35.9,42.3,18.6,61.4,33.1
48.7,31.5,0.0,35.7,28.9,47.1,33.6,29.8,45.2,52.3
32.1,22.8,35.7,0.0,44.3,28.5,37.9,25.1,58.7,41.9
67.9,54.2,28.9,44.3,0.0,52.8,39.4,48.6,34.1,65.3
41.2,35.9,47.1,28.5,52.8,0.0,31.7,34.2,56.9,29.8
55.8,42.3,33.6,37.9,39.4,31.7,0.0,38.5,42.8,47.6
29.4,18.6,29.8,25.1,48.6,34.2,38.5,0.0,52.3,35.7
73.6,61.4,45.2,58.7,34.1,56.9,42.8,52.3,0.0,68.9
38.7,33.1,52.3,41.9,65.3,29.8,47.6,35.7,68.9,0.0
